Country,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Slovak Republic,female,2767855,2768929,2771332,2773308,2775353,2777871,2782450,2787987,2793033,2772570
Slovak Republic,male,2611306,2611124,2613490,2615872,2618284,2623127,2629804,2636938,2642240,2631752
Slovak Republic,total,5379161,5380053,5384822,5389180,5393637,5400998,5412254,5424925,5435273,5404322
Spain,female,21163499,21543353,21864746,22196988,22531907,22926377,23199728,23316596,23428062,23719209
Spain,male,20387085,20801989,21173289,21561262,21942724,22356882,22628444,22672420,22724864,23099012
Spain,total,41550584,42345342,43038035,43758250,44474631,45283259,45828172,45989016,46152926,46818221
Sweden,female,4513681,4529014,4545081,4561202,4589734,4619006,4652637,4691668,4725326,4756021
Sweden,male,4427107,4446656,4466311,4486550,4523523,4563921,4603710,4649014,4690244,4726834
Sweden,total,8940788,8975670,9011392,9047752,9113257,9182927,9256347,9340682,9415570,9482855
Switzerland,female,3738824,3762609,3786406,3806626,3829380,3866480,3915181,3955240,3992708,4032409
Switzerland,male,3575029,3601539,3628696,3652502,3679359,3727014,3786675,3830566,3877426,3922253
Switzerland,total,7313853,7364148,7415102,7459128,7508739,7593494,7701856,7785806,7870134,7954662
Turkey,female,34753495,35023500,35484500,35945763,35945763,35209723,35615946,36098842,36679806,37191315
Turkey,male,35418484,35666000,36123000,36574211,36574211,35376533,35901154,36462470,37043182,37532954
Turkey,total,70171979,70689500,71607500,72519974,72519974,70586256,71517100,72561312,73722988,74724269
United Kingdom,female,30331409,30506793,30664861,30817364,30976313,31145537,31331174,31518326,31726030,32115485
United Kingdom,male,28930648,29193035,29394997,29595506,29805033,30033723,30263920,30508636,30772582,31140669
United Kingdom,total,59262057,59699828,60059858,60412870,60781346,61179260,61595094,62026962,62498612,63256154
United States,female,146817188,147773459,149495099,150913782,152261670,154509976,154662649,155915671,157539944,158635141
United States,male,141957038,143037260,144947584,146394361,147922764,150336755,150464902,151840906,152449134,153596908
United States,total,288774226,290810719,294442683,297308143,300184434,304846731,305127551,307756577,309989078,312232049
