"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","70.7",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","77.8",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","63.6",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","70.7",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","77.9",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","63.7",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","72.3",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","79.4",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","65.2",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","71.2",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","78.5",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","63.9",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","71.2",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","78.6",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","63.8",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","71.2",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","78.6",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2008","Active population","63.8",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2008","Active population","67.1",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2008","Active population","73.3",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2008","Active population","60.8",""
"Total","Bulgaria","From 15 to 64 years","Percentage of total population","2008","Active population","67.8",""
"Males","Bulgaria","From 15 to 64 years","Percentage of total population","2008","Active population","72.5",""
"Females","Bulgaria","From 15 to 64 years","Percentage of total population","2008","Active population","63.1",""
"Total","Czech Republic","From 15 to 64 years","Percentage of total population","2008","Active population","69.7",""
"Males","Czech Republic","From 15 to 64 years","Percentage of total population","2008","Active population","78.1",""
"Females","Czech Republic","From 15 to 64 years","Percentage of total population","2008","Active population","61.0",""
"Total","Denmark","From 15 to 64 years","Percentage of total population","2008","Active population","80.7",""
"Males","Denmark","From 15 to 64 years","Percentage of total population","2008","Active population","84.3",""
"Females","Denmark","From 15 to 64 years","Percentage of total population","2008","Active population","77.0",""
"Total","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2008","Active population","75.9",""
"Males","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2008","Active population","82.0",""
"Females","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2008","Active population","69.7",""
"Total","Estonia","From 15 to 64 years","Percentage of total population","2008","Active population","74.2",""
"Males","Estonia","From 15 to 64 years","Percentage of total population","2008","Active population","78.4",""
"Females","Estonia","From 15 to 64 years","Percentage of total population","2008","Active population","70.3",""
"Total","Ireland","From 15 to 64 years","Percentage of total population","2008","Active population","72.1",""
"Males","Ireland","From 15 to 64 years","Percentage of total population","2008","Active population","80.8",""
"Females","Ireland","From 15 to 64 years","Percentage of total population","2008","Active population","63.3",""
"Total","Greece","From 15 to 64 years","Percentage of total population","2008","Active population","66.7",""
"Males","Greece","From 15 to 64 years","Percentage of total population","2008","Active population","78.4",""
"Females","Greece","From 15 to 64 years","Percentage of total population","2008","Active population","55.0",""
"Total","Spain","From 15 to 64 years","Percentage of total population","2008","Active population","72.7",""
"Males","Spain","From 15 to 64 years","Percentage of total population","2008","Active population","81.6",""
"Females","Spain","From 15 to 64 years","Percentage of total population","2008","Active population","63.6",""
"Total","France","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Males","France","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Females","France","From 15 to 64 years","Percentage of total population","2008","Active population",":",""
"Total","France (metropolitan)","From 15 to 64 years","Percentage of total population","2008","Active population","69.9",""
"Males","France (metropolitan)","From 15 to 64 years","Percentage of total population","2008","Active population","74.7",""
"Females","France (metropolitan)","From 15 to 64 years","Percentage of total population","2008","Active population","65.2",""
"Total","Croatia","From 15 to 64 years","Percentage of total population","2008","Active population","65.8",""
"Males","Croatia","From 15 to 64 years","Percentage of total population","2008","Active population","72.5",""
"Females","Croatia","From 15 to 64 years","Percentage of total population","2008","Active population","59.0",""
"Total","Italy","From 15 to 64 years","Percentage of total population","2008","Active population","62.9",""
"Males","Italy","From 15 to 64 years","Percentage of total population","2008","Active population","74.3",""
"Females","Italy","From 15 to 64 years","Percentage of total population","2008","Active population","51.6",""
"Total","Cyprus","From 15 to 64 years","Percentage of total population","2008","Active population","73.6",""
"Males","Cyprus","From 15 to 64 years","Percentage of total population","2008","Active population","82.0",""
"Females","Cyprus","From 15 to 64 years","Percentage of total population","2008","Active population","65.7",""
"Total","Latvia","From 15 to 64 years","Percentage of total population","2008","Active population","74.2",""
"Males","Latvia","From 15 to 64 years","Percentage of total population","2008","Active population","78.3",""
"Females","Latvia","From 15 to 64 years","Percentage of total population","2008","Active population","70.3",""
"Total","Lithuania","From 15 to 64 years","Percentage of total population","2008","Active population","68.4",""
"Males","Lithuania","From 15 to 64 years","Percentage of total population","2008","Active population","71.6",""
"Females","Lithuania","From 15 to 64 years","Percentage of total population","2008","Active population","65.5",""
"Total","Luxembourg","From 15 to 64 years","Percentage of total population","2008","Active population","66.8",""
"Males","Luxembourg","From 15 to 64 years","Percentage of total population","2008","Active population","74.7",""
"Females","Luxembourg","From 15 to 64 years","Percentage of total population","2008","Active population","58.7",""
"Total","Hungary","From 15 to 64 years","Percentage of total population","2008","Active population","61.2",""
"Males","Hungary","From 15 to 64 years","Percentage of total population","2008","Active population","68.0",""
"Females","Hungary","From 15 to 64 years","Percentage of total population","2008","Active population","54.7",""
"Total","Malta","From 15 to 64 years","Percentage of total population","2008","Active population","59.1",""
"Males","Malta","From 15 to 64 years","Percentage of total population","2008","Active population","77.2",""
"Females","Malta","From 15 to 64 years","Percentage of total population","2008","Active population","40.4",""
"Total","Netherlands","From 15 to 64 years","Percentage of total population","2008","Active population","79.3",""
"Males","Netherlands","From 15 to 64 years","Percentage of total population","2008","Active population","85.3",""
"Females","Netherlands","From 15 to 64 years","Percentage of total population","2008","Active population","73.3",""
"Total","Austria","From 15 to 64 years","Percentage of total population","2008","Active population","73.9",""
"Males","Austria","From 15 to 64 years","Percentage of total population","2008","Active population","80.0",""
"Females","Austria","From 15 to 64 years","Percentage of total population","2008","Active population","67.8",""
"Total","Poland","From 15 to 64 years","Percentage of total population","2008","Active population","63.8",""
"Males","Poland","From 15 to 64 years","Percentage of total population","2008","Active population","70.9",""
"Females","Poland","From 15 to 64 years","Percentage of total population","2008","Active population","57.0",""
"Total","Portugal","From 15 to 64 years","Percentage of total population","2008","Active population","73.9",""
"Males","Portugal","From 15 to 64 years","Percentage of total population","2008","Active population","79.2",""
"Females","Portugal","From 15 to 64 years","Percentage of total population","2008","Active population","68.9",""
"Total","Romania","From 15 to 64 years","Percentage of total population","2008","Active population","62.9",""
"Males","Romania","From 15 to 64 years","Percentage of total population","2008","Active population","70.6",""
"Females","Romania","From 15 to 64 years","Percentage of total population","2008","Active population","55.2",""
"Total","Slovenia","From 15 to 64 years","Percentage of total population","2008","Active population","71.8",""
"Males","Slovenia","From 15 to 64 years","Percentage of total population","2008","Active population","75.8",""
