"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","70.3",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","77.6",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","63.1",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","70.4",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","77.6",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","63.2",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","71.9",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","79.2",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","64.6",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","70.8",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","78.4",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","63.2",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","70.8",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","78.5",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","63.2",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","70.8",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","78.5",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2007","Active population","63.1",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2007","Active population","67.1",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2007","Active population","73.6",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2007","Active population","60.4",""
"Total","Bulgaria","From 15 to 64 years","Percentage of total population","2007","Active population","66.3",""
"Males","Bulgaria","From 15 to 64 years","Percentage of total population","2007","Active population","70.6",""
"Females","Bulgaria","From 15 to 64 years","Percentage of total population","2007","Active population","62.1",""
"Total","Czech Republic","From 15 to 64 years","Percentage of total population","2007","Active population","69.9",""
"Males","Czech Republic","From 15 to 64 years","Percentage of total population","2007","Active population","78.1",""
"Females","Czech Republic","From 15 to 64 years","Percentage of total population","2007","Active population","61.5",""
"Total","Denmark","From 15 to 64 years","Percentage of total population","2007","Active population","80.1",""
"Males","Denmark","From 15 to 64 years","Percentage of total population","2007","Active population","83.7",""
"Females","Denmark","From 15 to 64 years","Percentage of total population","2007","Active population","76.4",""
"Total","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2007","Active population","75.6",""
"Males","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2007","Active population","81.7",""
"Females","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2007","Active population","69.4",""
"Total","Estonia","From 15 to 64 years","Percentage of total population","2007","Active population","73.2",""
"Males","Estonia","From 15 to 64 years","Percentage of total population","2007","Active population","77.8",""
"Females","Estonia","From 15 to 64 years","Percentage of total population","2007","Active population","68.9",""
"Total","Ireland","From 15 to 64 years","Percentage of total population","2007","Active population","72.6","b"
