"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","70.1",""
"Males","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","77.5",""
"Females","European Union (28 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","62.8",""
"Total","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","70.2",""
"Males","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","77.5",""
"Females","European Union (27 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","62.9",""
"Total","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","71.6",""
"Males","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","79.1",""
"Females","European Union (15 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","64.1",""
"Total","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","70.4",""
"Males","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","78.3",""
"Females","Euro area (19 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","62.6",""
"Total","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","70.4",""
"Males","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","78.3",""
"Females","Euro area (18 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","62.6",""
"Total","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","70.4",""
"Males","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","78.3",""
"Females","Euro area (17 countries)","From 15 to 64 years","Percentage of total population","2006","Active population","62.5",""
"Total","Belgium","From 15 to 64 years","Percentage of total population","2006","Active population","66.5",""
"Males","Belgium","From 15 to 64 years","Percentage of total population","2006","Active population","73.4",""
"Females","Belgium","From 15 to 64 years","Percentage of total population","2006","Active population","59.5",""
"Total","Bulgaria","From 15 to 64 years","Percentage of total population","2006","Active population","64.5",""
"Males","Bulgaria","From 15 to 64 years","Percentage of total population","2006","Active population","68.8",""
"Females","Bulgaria","From 15 to 64 years","Percentage of total population","2006","Active population","60.2",""
"Total","Czech Republic","From 15 to 64 years","Percentage of total population","2006","Active population","70.3",""
"Males","Czech Republic","From 15 to 64 years","Percentage of total population","2006","Active population","78.3",""
"Females","Czech Republic","From 15 to 64 years","Percentage of total population","2006","Active population","62.3",""
"Total","Denmark","From 15 to 64 years","Percentage of total population","2006","Active population","80.6",""
"Males","Denmark","From 15 to 64 years","Percentage of total population","2006","Active population","84.1",""
"Females","Denmark","From 15 to 64 years","Percentage of total population","2006","Active population","77.0",""
"Total","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2006","Active population","74.9",""
"Males","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2006","Active population","81.3",""
"Females","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Percentage of total population","2006","Active population","68.5",""
"Total","Estonia","From 15 to 64 years","Percentage of total population","2006","Active population","72.8",""
"Males","Estonia","From 15 to 64 years","Percentage of total population","2006","Active population","76.2",""
"Females","Estonia","From 15 to 64 years","Percentage of total population","2006","Active population","69.6",""
"Total","Ireland","From 15 to 64 years","Percentage of total population","2006","Active population","71.9",""
"Males","Ireland","From 15 to 64 years","Percentage of total population","2006","Active population","81.7",""
"Females","Ireland","From 15 to 64 years","Percentage of total population","2006","Active population","61.9",""
"Total","Greece","From 15 to 64 years","Percentage of total population","2006","Active population","66.7",""
"Males","Greece","From 15 to 64 years","Percentage of total population","2006","Active population","78.5",""
"Females","Greece","From 15 to 64 years","Percentage of total population","2006","Active population","55.0",""
"Total","Spain","From 15 to 64 years","Percentage of total population","2006","Active population","71.1",""
"Males","Spain","From 15 to 64 years","Percentage of total population","2006","Active population","81.2",""
"Females","Spain","From 15 to 64 years","Percentage of total population","2006","Active population","60.7",""
"Total","France","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Males","France","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Females","France","From 15 to 64 years","Percentage of total population","2006","Active population",":",""
"Total","France (metropolitan)","From 15 to 64 years","Percentage of total population","2006","Active population","69.6",""
"Males","France (metropolitan)","From 15 to 64 years","Percentage of total population","2006","Active population","74.9",""
"Females","France (metropolitan)","From 15 to 64 years","Percentage of total population","2006","Active population","64.5",""
"Total","Croatia","From 15 to 64 years","Percentage of total population","2006","Active population","63.0","e"
"Males","Croatia","From 15 to 64 years","Percentage of total population","2006","Active population","69.3","e"
"Females","Croatia","From 15 to 64 years","Percentage of total population","2006","Active population","56.8","e"
