"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","75.3",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","83.0",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","67.6",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","75.3",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","83.1",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","67.7",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","76.4",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","84.1",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","68.7",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","75.7",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","83.6",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","67.8",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","75.7",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","83.6",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","67.7",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","75.6",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","83.6",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2008","Active population","67.7",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2008","Active population","73.0",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2008","Active population","79.7",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2008","Active population","66.2",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2008","Active population","74.7",""
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2008","Active population","80.3",""
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2008","Active population","69.3",""
"Total","Czech Republic","From 20 to 64 years","Percentage of total population","2008","Active population","75.6",""
"Males","Czech Republic","From 20 to 64 years","Percentage of total population","2008","Active population","84.9",""
"Females","Czech Republic","From 20 to 64 years","Percentage of total population","2008","Active population","66.1",""
"Total","Denmark","From 20 to 64 years","Percentage of total population","2008","Active population","82.2",""
"Males","Denmark","From 20 to 64 years","Percentage of total population","2008","Active population","86.4",""
"Females","Denmark","From 20 to 64 years","Percentage of total population","2008","Active population","78.0",""
"Total","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2008","Active population","80.0",""
"Males","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2008","Active population","86.5",""
"Females","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2008","Active population","73.4",""
"Total","Estonia","From 20 to 64 years","Percentage of total population","2008","Active population","81.3",""
"Males","Estonia","From 20 to 64 years","Percentage of total population","2008","Active population","86.3",""
"Females","Estonia","From 20 to 64 years","Percentage of total population","2008","Active population","76.6",""
"Total","Ireland","From 20 to 64 years","Percentage of total population","2008","Active population","76.9",""
