"SEX","GEO","AGE","UNIT","TIME","INDIC_EM","Value","Flag and Footnotes"
"Total","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","74.9",""
"Males","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","82.8",""
"Females","European Union (28 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","67.1",""
"Total","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","75.0",""
"Males","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","82.9",""
"Females","European Union (27 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","67.2",""
"Total","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","76.0",""
"Males","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","84.0",""
"Females","European Union (15 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","68.1",""
"Total","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","75.2",""
"Males","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","83.5",""
"Females","Euro area (19 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","67.1",""
"Total","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","75.2",""
"Males","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","83.5",""
"Females","Euro area (18 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","67.0",""
"Total","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","75.2",""
"Males","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","83.5",""
"Females","Euro area (17 countries)","From 20 to 64 years","Percentage of total population","2007","Active population","67.0",""
"Total","Belgium","From 20 to 64 years","Percentage of total population","2007","Active population","72.9",""
"Males","Belgium","From 20 to 64 years","Percentage of total population","2007","Active population","80.1",""
"Females","Belgium","From 20 to 64 years","Percentage of total population","2007","Active population","65.7",""
"Total","Bulgaria","From 20 to 64 years","Percentage of total population","2007","Active population","73.3",""
"Males","Bulgaria","From 20 to 64 years","Percentage of total population","2007","Active population","78.3",""
"Females","Bulgaria","From 20 to 64 years","Percentage of total population","2007","Active population","68.4",""
"Total","Czech Republic","From 20 to 64 years","Percentage of total population","2007","Active population","75.9",""
"Males","Czech Republic","From 20 to 64 years","Percentage of total population","2007","Active population","85.0",""
"Females","Czech Republic","From 20 to 64 years","Percentage of total population","2007","Active population","66.8",""
"Total","Denmark","From 20 to 64 years","Percentage of total population","2007","Active population","81.8",""
"Males","Denmark","From 20 to 64 years","Percentage of total population","2007","Active population","85.8",""
"Females","Denmark","From 20 to 64 years","Percentage of total population","2007","Active population","77.7",""
"Total","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2007","Active population","79.8",""
"Males","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2007","Active population","86.5",""
"Females","Germany (until 1990 former territory of the FRG)","From 20 to 64 years","Percentage of total population","2007","Active population","73.0",""
"Total","Estonia","From 20 to 64 years","Percentage of total population","2007","Active population","80.4",""
"Males","Estonia","From 20 to 64 years","Percentage of total population","2007","Active population","85.7",""
"Females","Estonia","From 20 to 64 years","Percentage of total population","2007","Active population","75.4",""
"Total","Ireland","From 20 to 64 years","Percentage of total population","2007","Active population","77.2","b"
"Males","Ireland","From 20 to 64 years","Percentage of total population","2007","Active population","87.0","b"
"Females","Ireland","From 20 to 64 years","Percentage of total population","2007","Active population","67.2","b"
"Total","Greece","From 20 to 64 years","Percentage of total population","2007","Active population","71.8",""
"Males","Greece","From 20 to 64 years","Percentage of total population","2007","Active population","84.4",""
"Females","Greece","From 20 to 64 years","Percentage of total population","2007","Active population","59.2",""
"Total","Spain","From 20 to 64 years","Percentage of total population","2007","Active population","75.6",""
"Males","Spain","From 20 to 64 years","Percentage of total population","2007","Active population","85.7",""
"Females","Spain","From 20 to 64 years","Percentage of total population","2007","Active population","65.2",""
"Total","France","From 20 to 64 years","Percentage of total population","2007","Active population",":",""
